code,name,brand,longitude,latitude
0000000696,松屋 小金井関野町店,松屋,139.522003,35.712772
0000000697,松屋 御幸本町店（松のや併設）,松屋,139.927811,36.583652
0000000698,松屋 盛岡大通店,松屋,141.148819,39.702694
0000000699,松屋 仙台八乙女店,松屋,140.879807,38.315083
0000000700,松屋 高崎問屋町店,松屋,139.009064,36.350555
0000000702,松屋 二又瀬店,松屋,130.441727,33.607780
0000000704,松屋 広島紙屋町店,松屋,132.456055,34.394672
0000000705,松屋 大宮奈良町店（松のや併設）,松屋,139.603485,35.941250
0000000706,松屋 琴似店,松屋,141.306824,43.079166
0000000707,松屋 郡山芳賀店,松屋,140.394150,37.389954
0000000709,松屋 彦根店,松屋,136.262741,35.252178
0000000710,松屋 岩出店（マイカリー食堂併設）,松屋,135.328049,34.262417
0000000711,松屋 すすきの店,松屋,141.354202,43.055405
0000000713,松屋 大国町店,松屋,135.497986,34.658764
0000000714,松屋 入間東藤沢店（松のや併設）,松屋,139.418488,35.818073
0000000715,松屋 上野浅草口店,松屋,139.777435,35.712410
0000000716,松屋 山口店（松のや併設）,松屋,131.448593,34.167164
0000000717,松屋 山形深町店（松のや併設）,松屋,140.316376,38.236191
0000000718,松屋 仙台大和町店 （松のや併設）,松屋,140.919571,38.248508
0000000719,松屋 金沢増泉店（松のや併設）,松屋,136.636688,36.559536
0000000720,松屋 高井戸店,松屋,139.615234,35.682659
0000000721,松屋 ひたちなか店,松屋,140.506744,36.398766
0000000723,松屋 浅草国際通店,松屋,139.792709,35.714378
0000000725,松屋 三島店（松のや併設）,松屋,138.914124,35.109024
0000000727,松屋 所沢若狭店,松屋,139.413803,35.803345
0000000728,松屋 山梨竜王店（松のや併設）,松屋,138.519730,35.639263
0000000730,松屋 大宮大成町店,松屋,139.614120,35.919189
0000000731,松屋 太田飯塚町店,松屋,139.377396,36.282017
0000000732,松屋 富山掛尾店（松のや併設）,松屋,137.211197,36.667442
0000000734,松屋 花小金井駅前店,松屋,139.513535,35.727486
0000000735,松屋 浦和所沢バイパス店 （松のや併設）,松屋,139.569977,35.842331
0000000736,松屋 金沢工大前店（松のや併設）,松屋,136.630096,36.528816
0000000737,松屋 青物横丁店,松屋,139.745132,35.611023
0000000739,松屋 長瀬店,松屋,135.577820,34.650497
0000000740,松屋 佐野店（松のや併設）,松屋,139.590912,36.307537
0000000741,松屋 芝大門店,松屋,139.753006,35.656368
0000000742,松屋 北44条店（松のや併設）,松屋,141.344223,43.112820
0000000744,松屋 与野駅前店,松屋,139.638962,35.885288
0000000745,松屋 宇都宮オリオン通店,松屋,139.885025,36.559799
0000000746,松屋 江戸川橋店,松屋,139.731308,35.709991
0000000747,松屋 岡山十日市店,松屋,133.923218,34.637127
0000000748,松屋 南郷通店,松屋,141.414383,43.038841
0000000749,松屋 中洲店,松屋,130.405212,33.593834
0000000750,松屋 大宮桜木町店（松のや併設）,松屋,139.617020,35.907703
0000000751,松屋 三郷店,松屋,139.885025,35.844677
0000000752,松屋 上越藤野店（松のや併設）,松屋,138.247925,37.154011
0000000753,松屋 宇都宮簗瀬町店（松のや併設）,松屋,139.888580,36.543880
0000000755,松屋 川口並木店,松屋,139.708221,35.820358
0000000756,松屋 広島胡町店,松屋,132.466278,34.393097
0000000757,松屋 京成高砂店,松屋,139.867126,35.750366
0000000758,松屋 南浦和店,松屋,139.669800,35.847984
0000000760,松屋 南茨木店,松屋,135.565720,34.801594
0000000761,松屋 長野柳原店（松のや併設）,松屋,138.250534,36.657490
0000000763,松屋 なんさん通り店,松屋,135.503433,34.663277
0000000765,松屋 春日部豊町店 （松のや併設）,松屋,139.736862,35.970985
0000000767,松屋 長久手店,松屋,137.045013,35.171337
0000000768,松屋 浦和田島通店,松屋,139.639023,35.841850
0000000769,松屋 追浜店,松屋,139.627075,35.315990
0000000770,松屋 稲田堤店（マイカリー食堂併設）,松屋,139.533005,35.633999
0000000771,松屋 鶴川店,松屋,139.480591,35.583420
0000000772,松屋 川口駅前店,松屋,139.718155,35.801834
0000000773,松屋 松本高宮店,松屋,137.960312,36.214390
0000000774,松屋 川越城下町店（松のや併設）,松屋,139.491852,35.927338
0000000775,松屋 山形駅前店,松屋,140.330017,38.247868
0000000778,松屋 船橋北口店,松屋,139.985489,35.704334
0000000779,松屋 西小山店,松屋,139.698883,35.615051
0000000782,松屋 和光市駅前店,松屋,139.611343,35.788223
0000000783,松屋 御影店,松屋,135.256470,34.715153
0000000784,松屋 桜台店,松屋,139.662323,35.738338
0000000785,松屋 赤羽西口店,松屋,139.718948,35.778175
0000000786,松屋 金沢示野店（松のや併設）,松屋,136.617020,36.580887
0000000787,松屋 足立江北店,松屋,139.764359,35.778168
0000000788,松屋 植田一本松店（松のや併設）,松屋,136.986130,35.137497
0000000789,松屋 石神井台店 （松のや併設）,松屋,139.585541,35.738510
0000000791,松屋 西新宿3丁目店,松屋,139.690979,35.684460
0000000792,松屋 松戸七畝割店,松屋,139.908081,35.777241
0000000793,松屋 前橋元総社町店（松のや併設）,松屋,139.043472,36.384056
0000000794,松屋 青柳町店,松屋,136.938766,35.159023
0000000795,松屋 福井大和田店,松屋,136.251953,36.095295
0000000797,松屋 上新庄店,松屋,135.533585,34.748341
0000000799,松屋 池袋トキワ通店,松屋,139.709946,35.732990
0000000800,松屋 吉川店,松屋,139.842560,35.877048
0000000801,松屋 大阪野田店,松屋,135.475708,34.690014
0000000802,松屋 戸田駅前店,松屋,139.665710,35.820206
0000000803,松屋 用賀店（マイカリー食堂併設）,松屋,139.634918,35.627003
0000000804,松屋 庄内店,松屋,135.474716,34.749340
0000000805,松屋 船堀店,松屋,139.864594,35.685772
0000000806,松屋 大倉山店（マイカリー食堂併設）,松屋,139.629684,35.521675
0000000807,松屋 飯田橋駅前店,松屋,139.745575,35.701790
0000000808,松屋 大森町店,松屋,139.731171,35.572147
0000000809,松屋 門真店（マイカリー食堂併設）,松屋,135.612747,34.738956
